time,open,high,low,close,volumeto,coin
2023-01-08,13.1,14.87,12.85,14.45,69849810.79,solana
2023-01-09,14.45,17.52,14.29,16.26,267958729.7,solana
2023-01-10,16.26,16.73,15.57,16.21,117343825.18,solana
2023-01-11,16.21,16.6,15.29,16.37,91957286.78,solana
2023-01-12,16.37,16.97,15.59,16.6,122893887.95,solana
2023-01-13,16.6,18.6,16.32,18.29,133083479.97,solana
2023-01-14,18.29,24.72,18.21,24.24,426149505.62,solana
2023-01-15,24.24,24.91,21.99,22.88,225168855.76,solana
2023-01-16,22.88,25.0,22.27,23.58,195373635.91,solana
2023-01-17,23.58,23.95,22.72,22.89,122316881.28,solana
2023-01-18,22.89,23.62,20.34,20.81,218474162.96,solana
2023-01-19,20.81,21.86,20.43,21.4,102839432.43,solana
2023-01-20,21.4,25.81,20.93,25.54,164469564.96,solana
2023-01-21,25.54,26.46,24.38,24.57,201065652.02,solana
2023-01-22,24.57,25.43,23.52,24.22,126726909.34,solana
2023-01-23,24.22,24.93,23.76,24.35,104226920.63,solana
2023-01-24,24.35,25.21,22.41,22.77,91078716.14,solana
2023-01-25,22.77,25.41,22.24,24.51,125431229.78,solana
2023-01-26,24.51,25.22,23.79,24.35,74283958.87,solana
2023-01-27,24.35,24.95,23.36,24.44,87038058.69,solana
2023-01-28,24.44,25.19,23.74,24.01,44093898.41,solana
2023-01-29,24.01,26.76,23.73,26.08,102498251.74,solana
2023-01-30,26.08,26.32,23.29,23.97,109362775.54,solana
2023-01-31,23.97,24.46,23.49,23.93,60266493.82,solana
2023-02-01,23.93,25.2,22.51,25.0,108523663.73,solana
2023-02-02,25.0,26.14,24.12,24.32,109357957.57,solana
2023-02-03,24.32,25.22,24.05,24.68,70127686.77,solana
2023-02-04,24.68,24.94,24.2,24.36,23004871.92,solana
2023-02-05,24.36,24.47,23.05,23.49,42459812.18,solana
2023-02-06,23.49,23.73,22.51,22.69,35635388.03,solana
2023-02-07,22.69,23.96,22.55,23.84,55393189.81,solana
2023-02-08,23.84,24.2,22.81,23.22,41744087.1,solana
